score,comment
10.0,이미 다른 투숙객 들이 많음 리뷰 남겼는데. 경치 아름다운 신상 호텔 입니다. 저희는 오션뷰 보다 훨씬 방이 넓은 프리미어 킹 예약 했는데 잘 했다는 생각 들었습니다. 기본 오션뷰 방은 오션뷰는 환상이지만 방이 많이 좁습니다. 다들 아시겠지만 따뜻한 온수 110 미터 야외 풀장은 그야 말로 환상 입니다. 겨울에도 걱정하지 않으셔도 됩니다. 물 박으로 나와 있으면 오히려 더 춥습니다. 조식 만족 하였고 직원분들 친절 하셨고 그리고 여러분이 계셔서 체크과 조식 많이 기다리지 않았습니다. 로비에 서비스 하기 위해 상주한 직원분들 보실수 있습니다. 로비에 들어서는순간 마음이 확 뜨입니다 오션뷰가 바로 앞에 보이거든요. 사진을 않찍을수가 없습니다. 주머니 사정 여유가 되시면 꼭 추천드립니다.  
10.0,이번 제주 여행을 계획하면서 호텔 우선 순위로 두었던 파르나스.. 씨에스 호텔과 비교 하며 마지막으로 파르나스로 결정.. 비오는 제주의 낭만을 느낄 수 있었고  처음 도착 시 직원들의 친절함과 매너 있는 모습에 만족.. 룸컨디션 너무 좋고  조식또한 어느 호텔보다 좋았음. 바다 전망은 아니였지만 공용공간에서 바다뷰를 만끽하여 좋았음.  아이의 중이염 때문에 온수풀을 이용 못해 아쉽지만 별도 차지 없이 투숙기간  동안 무로료 이용 가능한 수영장은 매우 매력적임.
10.0,"파르나스 호텔 할인을 많이 하기에 남자 혼자 여행이였지만 과감히 질렀어요.
호텔은 하얏트에서 새로 리뉴얼 된 만큼 전체적으로 컨디션이 훌륭했고  중문 바다가 보이는 인피니티풀도 엄청 커서 좋았어요.
지나갈 때마다 직원분들이 인사해 주셔서 너무 좋았고  그중에서도 제일 감동적이였던 건 제가 서귀포 방향 600번 리무진을 기다리고 있었는데  
입구에 계셨던 남자직원 분이 어느방향 리무진을 기다리나 먼저 물어봐주셨고  처음에 제주공항 방향 리무진이 왔는데 제가 타려고 하니 타면 안된다고 가르쳐 주셨고 서귀포 방향 버스가 오니 이 버스를 타야 된다고 알려주셨습니다.

어떻게 보면 사소한 친절이지만 고객 입장에서 너무 고마웠고  이런 친절이야 말로 5성급 이상의 감동을 주는 게 아닌가 생각되었습니다.

보통 후기 안 쓰거나 짧게 쓰는데 너무 고마워서 길게 적어봅니다."
10.0,"친구랑 둘이 다녀왔어요. 40중반 아즘마인데 룸컨디션 너무좋고  직원들엄청친절해요. 조식-넘넘맛나요.꼭 조식패키지 이용하세요. 
인피니티풀-정말이지 힐링하고왔어요. 물도 따뜻하고 바다가 바로보여 너무 좋았어요
최고의 호텔로 추천하고싶은곳이예요
조만간 날잡아서 또 가려고 합니다"
10.0,맨날 호캉스는 안하고 돌아다니기 바빴는데!!! 태교여랭 겸 제주도와서 파르나스 이용하고는.. 왜 호캉스 하는지 알겠다고 말할정도로 너무 좋았어요.  태교여행이라하니 가습기 공기청정기도 얼려다주시고..룸 컨디션 너무 좋고  소음도 없도  직원분들 진짜 친절하시고!! 공항버스도 바로앞에서 탈수있고 쏘카존도 있어서 저희는 촬영 나가는 잠깐만 차 빌리고 호텔에서 지냈어요. 너므 좋았고. 아기낳고 또 오자고 했네요 ㅎㅎ 재방문할게요! 심지어! 리뷰남기는것도 처음 ㅎㅎㅎ
10.0,"지난해 폰드메르라운지&델리를 이용했는데 오션뷰와 멋진 건물에 인상을 받아서 올 해 호캉스를 파르나스로 정했어요. 

중문단지 호텔 중 컨디션이 단연 최고! 직원들의 밝은 미소와 친절에 즐겁게 보내다 온 올 호캉스였어요 :-) "
10.0,"솔직히 이렇게 친절한 직원들은 처음 만난 것 같아요. 
다들 늘 웃고 계시고  상냥하고 묻는 것에 대해 정확히 인지하고 있고요. 바  레스토랑  룸서비스  컨시어지 모두 친절합니다. 좀 오바같지만 인사담당하시는 분을 스카웃해야하나 싶은 마음이 들정도로 접객태도가 훌륭했습니다. 

건물이 깨끗하고 예쁜건 말할 것도 없고. 수영장... 수영장 진짜 미쳤습니다. 물 온도 딱이고 2박동안 3번이나 갔어요. 더 못 간게 아쉬울 따름ㅠㅜ 

오픈한지 얼마 안되었다고 들었는데  이 접객태도만 유지하신다면 더 잘 되실 거라고 믿습니다. 그리고 더 좋은 평가를 받아야하는 숙소라고 생각합니다. 마중  배웅서비스까지 모두 완벽했고  덕분에 좋은 휴가를 보낼 수 있게 되어 정말 감사했습니다. 
번창하시길 바랍니다."
9.6,"예전 하얏트일때부터 가본다 가본다 하다가 파르나스로 변경되고 괜찮아졌다는 얘기를 듣고 가보기로 결정했습니다.
미세먼지만 아니였으면 정말 좋은 뷰였는데 하늘과 바다가 구별이 안될정도의 수평선을 확인하기 어려운 정도의 날씨라 10층에 배정받고도 엄청 억울했네요. 다음날이 비가 와서 맑지는 않았지만 바다구분은 가능해서 날씨만 좋았었다면 하는 생각이 더 들어서..
전날 그랜드조선을 묵고와서인지 객실은 좀 좁게 느껴졌네요.
여기는 욕실 쪽이 욕조와 변기부스  샤워부스가 넉넉하게 배치되어 있어 객실보다는 욕실 쪽에 힘을 더 준듯?
냉장고에 에일맥주 두캔과 음료 두캔이 생수 외에 무료로 제공되어서 좋았네요. 커피는 폴바셋파우치 커피라 좋아하실 분들은 좋아하실듯(전 폴바 취향이 아니라서).
객실 내 슬리퍼가 짱짱해요. 부직포 파우치라 이게 일회용 맞나 싶은게..특급호텔에서 그렇진 않을거 같아 물어봤더니 일회용이더만요.
마지막날 숙소가 잠만 자는 목적이라 일회용 슬리퍼가 없을듯 하여 전날 그랜드조선에서 사용하던것 챙겼는데 파르나스 슬리퍼가 더 폭신하더군요.
조식도 포함해 예약했는데 제가 초딩 입맛이라 그냥 그랬네요.
별로는 아닌게 맞는데 정가 7만원 조식에 기대가 컸던 모양입니다.
어른 입맛인 분들은 괜찮으실 듯. 물론 이런곳에서 가성비를 논하는 것은 맞지 않는 듯 하고요.
날씨 좋고 창가에 앉아 식사하면 분위기 있을 듯 합니다. 저희도 늦게 간 편은 아닌데 창가는 빨리 차더군요.
그리고 전 수영을 안해서 관심없었는데 도착해서 제주도에서 가장 긴 인피니티풀이라고 하더군요.
남편도 귀찮아서 호텔에서 수영을 안하는 편인데 이번에는 보더니 약간 후회를 하더군요.
"
10.0,풀장 때문에 선택했는데 정말 만족한 숙소였어요. 2박 동안 정말 청소고 깔끔하게 해주셨고 만난 직원분들 모두 정말 친절하셨어요. 전체적인 서비스가 모두 좋았습니다. 식당 퀄리티도 좋고 풀장이며 부대시설도 신경써서 구성한 티가 나 인상 깊었어요. 덕분에 편안하게 잘 쉬었습니다.
10.0,"아이셋과 머물렀어요
조식이 정말 만족스럽고
아이를 위한 편의시설이 잘 되어있습니다 
패밀리 라운지에서 색칠놀이도 하고
책도 구비되어있어 읽어주며
시간을 보냈어요
편백나무 놀이방에서 모래놀이도
즐기다보니 아이들이
너무 만족했습니다 
또 가고 싶어요
비가오고 날씨가 좋지 않았지만
편의점과 웰컴 드링크로 꽉찬
미니바가 일박당 제공되니
밖에 나갈 필요가 없었어요
수영장은 말할것도 없구요

중문에서 가장 좋은 호텔로 추천합니다"
