,score,comment
0,10.0,"I was worried about what to do for a long holiday season, but I made a reservation with a landing hall with a water park and a amusement park.
I was going to use the water park, so I didn't have to use the pool, so I booked it as a landing hall without a swimming pool.
It was a pity that TV was not smart TV, but I didn't have much time to see TV.
All of the landing officers were very comfortable and well -known, making it a very comfortable trip.From doorman to front housekeeper, I thought how many hotels could work with.Thank you for making good memories ^^"
1,10.0,"This is the fourth place in mythology.
I feel it every time, but the staff are so kind.When I checked in, it was so good to see the children and take care of it and look for any inconveniences."
2,9.6,"When we arrived, a beautiful friendly staff welcomed us in front of the door.It is very clean and there is a shopping store and a restaurant in the building.If I had stayed more day, I would have wanted to get skin care there.

I would like to express a special gratitude to Jacob.He was upgraded to the room and was professional and kind, giving advice and information on how to visit Jeju.

I have no doubt that I will stay here next time I visit Jeju."
3,10.0,"Shinhwa World Facility is clean and the bed is comfortable. There is no theme park water park shopping bowling food in the mythology world.
Shinhwa World Location takes about 40 minutes from the airport and Aewol is about 30 minutes by car.It's so good. It's not too expensive and perfect."
4,10.0,"I lived in Jeju, but I used it for a vacation because it was a word of mouth to the citizens.I inquired a lot to Agoda and Shinhwa World Reservations because I was in a hurry to make a reservation the day before.
And I have been so well that I can enjoy the water park theme park meal shopping in one place."
5,10.0,"I was happy to buy a better room cheaper than the ball home, and it was good to be a plus for traveling with my parents.In particular, the basic service of the hotel was very satisfied and thanked for cooperating with the employees' kindness and inconvenience.If you stop by Jeju again, it is a hotel you want to use.I think it's a better place to do it.I asked for a request because I lacked drinking water.It was a happy Jeju trip."
6,10.0,"First, I was impressed by the staff's kindness to help check -in.In the first visit, the first visit was to explain the advantages and disadvantages and the feeling of assigning it to the customer's needs was grateful for adding a friendly smile.
I was assigned to the sixth floor, but the view to the sea was more than expected.Most of all, the room is well organized, so I have a good time and I can shop.This is a return plan."
7,10.0,"Employees were very kind, come first, greet and explain the location, and have a different kind of kindness than other hotels.There were so many facilities, so I could stay in the hotel and it was good to go to a nearby famous tourist destination."
8,10.0,"Last week, I went on a family trip to Jeju and stayed in Shinhwa World.In addition, the restaurant shopping mall amusement parks were so convenient.When I go to Jeju, I have to go to Shinhwa World Landing Museum.It was a pleasant trip to Jeju."
9,10.0,"It was nice to be clean and the staff was so kind ~
It was so sad that I couldn't see it late and I couldn't see it all."
10,9.6,"The landing hall accommodation was not included in the water park and the hotel pool.If you are planning to play in the water, you must book it as a myth.

Nevertheless, I got a theme park ticket and ride the ride (surprisingly fun) and ate a delicious meat because I didn't get out of the restaurant.Everything was convenient and good inside.

When you check in, enter the number.

The accommodation was spacious and clean.When I use the accommodation, it is a lot of cleanliness.However, there is a Parisian noise."
11,10.0,"I sent you all with relatives and parents, but you praised the staff so kind and breakfast."
12,10.0,"It is a complex resort that is almost solved inside, and the facilities are clean and the staff are kind and competent.However, it takes more than 1 hour to check the check -in, so it is not recommended in the high season."
13,10.0,"My mother was alone, but the accommodation was so good that I stayed in the hostel.
The breakfast is really good and the fruit is really honey fruit."
14,10.0,"Because of the water park, I decided to have a lodging here, but I had a reservation as a landing hall because I didn't have a mythology seat.If you have a water play, you must book it as a mythology and check -in Hanni Amusement Park.
Evening fireworks are not too big, but I think I did everything.
The location is close to the experience hall or Jungmun around."
15,10.0,"The hotel itself is also luxurious and resort format, so there are many things to visit or look around.It's a must -see place."
16,10.0,The clean and pretty facilities and the environment were so good. We used the landing hall and plan to use the Myths Hall Marriott Hotel. The friendly guidance was good.I ate it .... Winter is a good time in the season.
17,10.0,"It was a connecting room, so it was a good structure for the party to pass.The cost of price was also very good for the 4 people's accommodation.Except for this, it was a very good hostel."
18,10.0,I asked for a humidifier or baby guard before using the room.You took good care of it.The room is very clean.It was pleasant.I will use it again next time.
19,10.0,"I was surprised by the size and the room was great.It was a little complicated and the middle between the resort and the hotel, but it wasn't bad.There was a lack of cohes, but it was clean and comfortable."
20,10.0,"Special events are often
Compared to the price, I think room condition and size are fine.
Especially in the summer, I recommend the package combined with the pool.
In fact, the swimming pool is large
There are many things to use in the resort
Employees are also friendly"
21,10.0,It's just a good facility without any inconvenience.It is also good to go to Kono in the hotel.The restaurants in the facility are regrettable.It would be better if it was changed to a more recognized menu or brand
22,10.0,"Additional facilities are the best
Shopping Center Restaurant in Resort
Water Park Cinema Play Garden
There is nothing back and the staff are very friendly
Pleasant and clean"
23,10.0,"I am traveling around Jeju Island
In Sky On Five Dining while relaxing
Deliciously eaten until evening
I enjoyed traveling
It has a comfortable rest
thank you"
