score,comment,afinn_score,vader_score,k10
10.0,"First of all, the location was in the Jungmun Tourist Complex, so it was very accessible to various activities.
Since I first checked in, I was grateful for the staff so kindly.The room was much larger than other hotels, and the bathroom was separated so that two people were available at the same time.The breakfast is simple, but when I go to another area for three nights, my youth child is very sorry and asked me to come back next time.",3.0,0.0285,4
10.0,"It is a Kensington Resort Jungmun branch that is suitable for family members.>. <
In the room, I slept with my mom and my brother in two big beds.It was great that there was a sofa space where families could drink and snack while watching the view of Jeju sea.
My mom and dad liked the scenery so much.
It is located in the center of Jungmun Tourism Complex, so there are many restaurants and many restaurants.It was easy to buy the soil pigs in that difficult aging, and then buy bread at the Franceli bakery next to the counter, and there is a Seven -Eleven convenience store on the first floor.
And the staff are very kind ~
There are no elevators, but there are only two hotel floors (the fifth floor on the 3rd floor), so it's not inconvenient to go up with a carrier.
The luggage of the ages was moved by the staff ~!
Anyway, I stay well in a good room for two days.When I go to Jeju Island later, I will make a reservation!",10.0,0.9375,1
10.0,"The location is good, the lodging is clean and there is a sofa.I was able to see the sea on the balcony, and in the morning, I walked on a trail that leads to the Jungmun Sea.
There is no elevator, but the third floor is the entrance floor, so if you are assigned to the third floor, you only need to go up two or three stairs.
The breakfast was even higher and the food was delicious.It was completely relaxed when we went, but there are not many tables, so it seems to be crowded in many seasons.
I also bought apple bread sold in a cafe.If you don't buy it, I think it will be sold out soon.
It could be a cozy healing trip.Thank you ^^",11.0,0.7869,1
10.0,"I confused the Jungmun and Seogwipo branch, but the staff were friendly enough to be offset, and the room was more than expected.It was very delicious, especially the fresh bread was so delicious.",7.0,0.9638,8
10.0,"I've been to Jeju many times, but it's my favorite accommodation.It was the best room for the remodeling, and the facilities were not enough compared to the luxury hotel, but it was well equipped with the need for our family.The breakfast buffet is small, but the food is delicious, the view is so good and the bakery on the first floor is delicious.The room is best for four families, but the bedding is pleasant and the microwave induction.The door is caught in the shoes ??The two shower in the shower room is also easy to wash the kids, but even the water pressure is really easy.I want to go again next time! ^^",24.0,0.9908,1
10.0,"It is a very good accommodation for the price
The location is also located in Jungmun tourist complex, so there are many restaurants nearby and there are many restaurants.
It's an Ocean view of all rooms, but our room looked better on the side.
Not long after the remodeling, everyone is clean
It was good to be able to cook simple cooking
The bedding was clean and comfortable
There was a bathtub, so it was good to wash children and 2 nights
Please clean the room and give you plenty of towels
There was no inconvenience
The staff are also friendly
If you come to Jeju again, I'm going to stay at Kensington Jungmun.",19.0,0.9859,4
9.6,"The staff are kind and sensible, and the lobby and overall facilities are not gorgeous, but they have a comfortable atmosphere.As soon as I entered, I felt better because the ocean views and trees came abroad like California.

As a resort, there weren't many facilities like a hotel, but we didn't use it well.

Seven -Eleven in the resort is said to be a private place, and when there are not many people, I closed the door and call me if I call it, but I called it a few times.Still, there were other marts around me, so I wasn't very uncomfortable.

However, some towels were provided, so I used a towel after washing and shower, and I felt steamed.I've also been telling you to the front staff.

Also, the sound of the walls was sometimes heard in the upper room next to it.It was okay because it was a low season, but it would be a little noisy in the peak season.

The resort was a bit fuja, but the Jungmun Kensington Resort is about the middle of the hotel and the resort.It was a good place for our couple and family to stay together and heal ~",8.0,0.9645,1
10.0,"It was remodeled and was very clean and comfortable inside the room and two queen size beds.If there is a four -family family, it seems to be the best price.I was so grateful that I filled the consumables in the middle and organized the bedding.The breakfast is so good for the price, so I ate it for two days.It will be strongly recommended for acquaintances who are looking at the Jungmun side.",15.0,0.9693,4
10.0,"Both nice views, friendly staff and convenience facilities are good.I think I'll stay here with Jeju next time.It is especially fascinating to cross the garden to cafes on the sea.Recommended.",13.0,0.8687,2
10.0,"I feel the atmosphere of Jeju Island properly.
Last year, I was in the city, but it was a vacation compared to last year.
We were completely quiet and rested, so I went to the sea and healed once.
It was the right resort.
Honestly, I rented a restaurant around the resort because of the resort from the airport.
It was a place that could be moved by walking
Above all, the promenade connected to the beach
I was really satisfied with it ..
It was so good ~~~~",5.0,0.9355,3
