score,comment,afinn_score,vader_score,cluster
10.0,"The boss is so kind. He also provided toast and bread for free in the morning. You can eat it and start the next day, and the sea is visible and the islands such as the island are also seen.And I opened the curtains in the morning, but it was so cute that two cats were baking bread in our yard.",5.0,0.8788,6
10.0,"My mother and I are from the United States and enjoyed the accommodation at this pension!The view was beautiful, the breakfast was very nice, and the friendly woman gave a great recommendation!The surrounding area was so good to take a walk.The thin walls and hard beds are common here.I strongly recommend and want to stay longer.",19.0,0.9821,6
10.0,"1. Period of accommodation: 2/13 ~ 15 days (2 nights)
2. Personnel: 4 people (couple middle and high school son 2)
3. Latest Responsibility: The 2nd floor multi -floors'Daes in the Drawer '
  1) Location
     -
       It is good to be east or west
       E -Mart is close to the daily Olle market, so it's also good to go shopping
  2) Breakfast
    -A every morning, croissant toast in the office
      I give you a juice & coffee to prepare a separate breakfast.
      If you don't need it, you will give you more
      The amount is enough and the taste is good
      Especially in the morning sun, meals are also good in the garden.
 3) accommodation facilities
   -It is managed neatly in general
     Up to a flower of the lamp lighting bed inside the accommodation
     Careful consideration is felt everywhere
  -There is a mango holic on the first floor and a barbecue
     There is also a GS convenience store in 5 minutes
  -After also
     Thank you so much for writing it on the post -it
  4) Attractive point of accommodation
    -Most of all, the sea unfolds out of the window with the sunrise
      The landscape of the island feels like you are in a foreign country
      Fantastically, especially in the second floor bed,
      As soon as I open it, I want to be healing.
  -It's so good to walk in front of you
     The sound of the waves that sounds like
  -Where is there because I send the morning landscape
     Are you in a foreign country?
      I get a lot of contact
  -Son, who is a middle and high school student, is also satisfied with the accommodation
 5) Total reviews
    -The boss and friend are alternately in the office
      Both are so kind
   -The next time, Jeju Island is going back to the next time.
      I'm going to stay again
   -Wife also wants to come back with his friends
      All the acquaintances will come to this pension.
   -The price is also high
   -The most memorable point on this trip
     ?★?★??,33.0,0.9903
3,3,10.0,The boss is so kind and the view is completely amazing !!!Please take care of the breakfast ?ㅠ??If it is unfortunate",42.0,0.9948,6
10.0,"I grabbed the sea urchin and grabbed the crab at the beach.The view was good and the boss staff was so kind that it was comfortable.The parking was not a big problem in the low season, but it might be a bit difficult if it was a peak season.I want to visit again because the location is so good.The simple breakfast you provided is Berry Good.",12.0,0.6968,6
10.0,"The sea view from the two -storey bed was really nice.However, if the children are young, the multi -layered staircase may be dangerous, but if you are 5 years old or older, you liked it very much.The facilities around me were also good, so it was easy to be with my children.The surrounding promenade was connected to the Olle -gil, and the haenyeo's house was right in front of you, so you can see the work of the haenyeo.It was also a tourist destination, but it was better to see the daily life of Jeju by coexisting in all over the alleys.I was more satisfied thanks to the kind boss's service!It was more rich in our trips because you can also tell you a restaurant and tourist tips that you only know local and have a delicious tangerine on the surrounding tangerine farms.Thank you so much ~ ^^!",22.0,0.9915,6
10.0,"First of all, the boss's service was so satisfying !!
You are kind and recommend you to go to the mart or where you go.
The beach is in front of the pension bar, and the view is finished and the pension is clean.
And I'm informing people around me a lot.",6.0,0.9194,6
10.0,"The location is good and it looks right in front of the sea.
I couldn't see it because it was covered by the clouds, but the sea view was so pretty in the morning.
The room is small, but I was well done without lack of staying ..
Morning toast & coffee was so good.",5.0,0.9483,6
10.0,"I like Jeju so much that I often go, but it was my first time to stay at the pension.
It was so neat and pretty, so I was happy all the time
The view was so pretty and I had a very precious experience while I was staying.
The view is so pretty that I'm looking out the window, but I go right away
It is passing by ~ The sound of the appearance of a dolphin that was late sleeping lol
I saw it for the first time in Jeju.
I'm passing by, so a swarm of dolphins appeared again.
Then I didn't have it.
I thought I was gathering all the dolphins in Jeju
We saw a dolphin until the sun fell on that day.
The president of the pension said that there was no case.
He said that he had never been in life.
It was amazing and happy to see it from too close
The boss takes care of it so much and a simple breakfast
It was also considered to be enough to use items such as towels.
When I couldn't take care of me, the water was wrapped up.
I felt that I was very sincere in the pension management.
Thanks to this, it was a comfortable and pleasant schedule.
I have something to go again, so I don't have a room today.
The boss will see you next ~~~",30.0,0.9974,6
9.6,"I visited Jeju 5 times in the last two years, and I didn't have any places and stayed a day.The location was so good and the accommodation hygiene facilities were good.When I went anywhere, I had little dust and clean to clean the floor with a wet tissue.I used the abdominal room, but the view was so pretty and the interior was pretty like a frame.If I knew a little more detailed, I would have been snorkeling in front of the accommodation bar, but it would be too bad .. If I went to Jeju, I will be going to go to the breakfast.The daughter who didn't eat was also crisp.
It's a secret to go to receive more ..
It was very helpful and thankful for the recommendation of a visit place considering the boss's friendly ages!
Please always be healthy and see you again next time ^^",20.0,0.9894,6
10.0,The boss is so kind. The scenery is so good.,5.0,0.8445,7
10.0,"I just came down the wedding commemorative without planning, so I thought it was okay on the day.

Because I was deceived by the world
It's the same as the picture ^^
Furthermore, 20 seconds walking away?There are some swimming zones made by nature that can be played right away, and it was the most romantic.
Munseom looks big
The moonlight reflected in the sea in the evening is so pretty
It's itself ^^
So, when my couple visited this re -visited, I was looking at the Munseom
I went to two camping chairs and looked at the sea breeze and looked at Munseom, and I drank Jeju Makgeolli on the chicken.~

In March, we entered the lesil (first floor) and I loved the same lecil.If you open the veranda, you can step on it right away, and there is a personal terrace Ratan -style chair.
(When I went in March, it was two soft breads.
 
Especially the consideration and kindness of the woman
Thank you for keeping greeting your head.

The next day, I tried to stay in a row until early September.

I wanted to stay for a long time, so I contacted you 10 days last month.
I had a big situation in the house, so I couldn't make a reservation.
But I was happy to be this day.

It's a personal honest review.
I think you are so romantic because you are so romantic.

Please operate the boss for a long time
I live in Seoul, but
The acquaintance is in Marado.
I see you every time ^^

Good location right in front of the sea of price.",17.0,0.9886,6
10.0,"The scenery is so good.If you wake up in the morning and open the curtains, you can see Bumseom and the sea at a glance.The view is better than the picture.You can really go to the coastal road just one minute and decorate the front garden.

 The boss is so kind and you take care of it.I made some happenings, and I was so grateful that the boss was kindly solved.It was too impressive to meet all the people who checked out.

 The bedding is clean, the bathroom is clean and the interior is just clean.I didn't know what other people did and thought about it in the picture, but after cooking inside, the packaging food containers that were done well and eaten were extracted right away.

It's a bit unfortunate that there was a lot of pictures when I booked.It's better than the picture, so I don't want others to worry much.

We used four friends and were all satisfied, and if you travel around, I will make a reservation here without worrying.",21.0,0.9658,6
10.0,"First of all, the inside of the hostel is so clean and please be kind when you check in!
The pension garden is so pretty and the scenery is the best!
It was good for walking to the beach from the pension, so it was so good to walk in the morning.
Prepare breakfast and have coffee and juice in many kinds of bread!
I went with my parents and grandmothers, but I liked it so much.",17.0,0.9506,6
10.0,"I visited with my family, but I had a good stay and was quiet.And the boss is so kind that he is really resting !!I want to visit again next time.",6.0,0.9236,6
10.0,"Wow .. I found it by chance, but if you are a view, the convenience of the restaurant around the view is good and there aren't many good people. I wanted to visit.",12.0,0.891,6
10.0,"First of all, I admire the surrounding landscape.I was looking for a comfortable accommodation because I had a good trip to my parents, so I chose it because I liked the reviews.The view that you can see is finally the view.It was good for the boss's stern response.",13.0,0.9325,6
10.0,"I came well.Also, if you go to Jeju Island, you will be kind and finish the view.",2.0,0.5267,6
10.0,"The boss is so kind that he ties it pleasantly.The open sea view was so good and I ate the sea and coffee.The Haenyeo experience center was in front of you, so I could see the haenyeo experience, listen to the waves at night and have a cup of rice wine.There is a good condition for accommodation, a cafe on the first floor, and a convenience store close to it.I want to come again next time !!",9.0,0.9291,6
10.0,"The lodging hygiene was really good and most of all, the boss was very kind.Please also tell me a lot of restaurant sightseeing spot information
I was impressed when I took the ice water because it was hot.
The lodgings were just next to the car, so I was a little embarrassed at first, but I didn't have a lot of cars.
The bed was comfortable in the double floor and the living room sofa bed was good.
I have been doing well for 3 nights and four days.",12.0,0.93,6
10.0,I'm going back again !!!! The boss is so kind and the property is so good !!!Breakfast is also good to eat and take a walk after eating !!!,8.0,0.9327,6
10.0,"It is a good view of the garden in front of the sea.
Especially the view I saw on the second floor was so pretty.

It was easy to walk in the morning because it touched the Olle 7 course.I didn't know if there was breakfast, but after a walk, the boss gave me coffee and toast for breakfast.I ate it on the garden bench, so I think it came out of the picnic and it was nice ^^

Babies are also good to play in the garden, and it is a good accommodation even if you go to a couple or me.The boss was kind and recommended and recommended the travel course.I hope you can see dolphins then.",22.0,0.9859,5
10.0,"The accommodation was clean and the flowers were placed on the bed, so I felt kind consideration for guests.The dawn sea view was very satisfactory, and when I was walking around Olle trails in the morning, I was satisfied with my mind and body.It is also a good accommodation with a sincere guide to the nearby facilities.",11.0,0.9483,6
10.0,"During the month of life, I live near the pen line by visiting a friend.Forced
The photos of the heating and hygiene status with the double -story structure are also friendly.",2.0,0.4939,6
10.0,"On the last day of the trip, I chose Solasido, but the boss recommends a good place to go to the next schedule as a course and I feel good breakfast.
The sea was right in front of me, so I could see the sunrise
It was the cleanest and best of the pensions I've been to the room.",11.0,0.9505,6
